Hersteller;Produkt;Produktart;Herstellerseite (geprueft);Datenblatt-PDF (falls oeffentlich);SDS gefunden
"Petrofer";"Feroform";"FORMING_OIL";"https://www.petrofer.com";"";"nein"
"Petrofer";"ISOCUT VG 15 G";"GRINDING_OIL";"https://www.petrofer.com/products/metal-cutting-fluids/";"";"nein"
"Petrofer";"ISOMAX 150";"QUENCHING_OIL";"https://www.petrofer.co.uk/product-ranges/heat-treatment";"https://petroferbyhongdang.vn/vnt_upload/product/10_2023/Petrofer_Quenching_Oils.pdf";"nein"
"Petrofer";"ISORAPID 277";"QUENCHING_OIL";"https://petrofer.com/products/heat-treatment/";"https://petroferbyhongdang.vn/vnt_upload/product/10_2023/Petrofer_Quenching_Oils.pdf";"nein"
"Petrofer";"ISORAPID 455";"QUENCHING_OIL";"https://petrofer.com/products/heat-treatment/";"https://petroferbyhongdang.vn/vnt_upload/product/10_2023/Petrofer_Quenching_Oils.pdf";"nein"
"Petrofer";"Isocut";"COOLANT_NEAT";"https://www.petrofer.com";"";"nein"
"Petrofer";"Isogrind";"GRINDING_OIL";"https://www.petrofer.com";"";"nein"
"Petrofer";"MARQUENCH 722";"QUENCHING_OIL";"https://petrofer.com/products/heat-treatment/";"https://petroferbyhongdang.vn/vnt_upload/product/10_2023/Petrofer_Quenching_Oils.pdf";"nein"
"Petrofer";"VACUQUENCH 305";"QUENCHING_OIL";"https://www.petrofer.co.uk/product-ranges/heat-treatment";"https://petroferbyhongdang.vn/vnt_upload/product/10_2023/Petrofer_Quenching_Oils.pdf";"nein"
"Quaker Houghton";"EDM 244";"EDM_FLUID";"https://store.quakerhoughton.com/edm-244-na";"";"nein"
"Quaker Houghton";"FERROCOTE 6130";"FORMING_OIL";"https://store.quakerhoughton.com/ferrocote-6130-na";"";"nein"
"Quaker Houghton";"HOUGHTO-CLEAN 138 AT";"CLEANER";"https://home.quakerhoughton.com/wp-content/hub/Files/TDS_HOUGHTO-CLEAN%20138%20AT_EN.pdf";"https://home.quakerhoughton.com/wp-content/hub/Files/TDS_HOUGHTO-CLEAN%20138%20AT_EN.pdf";"nein"
"Quaker Houghton";"HOUGHTO-QUENCH C 1203";"QUENCHING_OIL";"https://home.quakerhoughton.com/wp-content/uploads/2022/09/plc_heat_treatment_A4_EN_EU.pdf";"https://home.quakerhoughton.com/wp-content/uploads/2022/09/plc_heat_treatment_A4_EN_EU.pdf";"nein"
"Quaker Houghton";"MAR-TEMP H 340";"QUENCHING_OIL";"https://home.quakerhoughton.com/wp-content/uploads/2022/09/plc_heat_treatment_A4_EN_EU.pdf";"https://home.quakerhoughton.com/wp-content/uploads/2022/09/plc_heat_treatment_A4_EN_EU.pdf";"nein"
"Rhenus Lub";"rhenus EP 11 M";"GRINDING_OIL";"https://www.rhenuslub.de/produkt/rhenus-ep-11-m/";"";"nein"
"Rhenus Lub";"rhenus GP 20 M";"GRINDING_OIL";"https://www.rhenuslub.de/produkt/rhenus-gp-20-m/";"";"nein"
"Rhenus Lub";"rhenus GP 6";"GRINDING_OIL";"https://www.rhenuslub.de/produkt/rhenus-gp-6/";"";"nein"
"Rhenus Lub";"rhenus ZC 944";"ADDITIVE";"https://www.rhenuslub.de/wp-content/uploads/2022/06/Pflegemassnahmen_KSS_bei_langen_Anlagenstillstaenden.pdf";"";"nein"
"Rhenus Lub";"rhenus ZC 948";"ADDITIVE";"https://www.rhenuslub.de/wp-content/uploads/2022/06/Pflegemassnahmen_KSS_bei_langen_Anlagenstillstaenden.pdf";"";"nein"
"Rhenus Lub";"rhenus ZI 923";"ADDITIVE";"https://www.rhenuslub.de/wp-content/uploads/2022/06/Pflegemassnahmen_KSS_bei_langen_Anlagenstillstaenden.pdf";"";"nein"
"Rhenus Lub";"rhenus ZW 977";"ADDITIVE";"https://www.rhenuslub.de/produktfinder/";"";"nein"
"Shell";"Shell Corena S3 R 46";"COMPRESSOR_OIL";"https://www.shell.com/business-customers/industrial-lubricants-and-specialty-fluids-for-business/products/shell-corena-compressor-oils.html";"https://www.shell-livedocs.com/data/published/en-US/dc6df9c2-06a8-4400-9ee2-fb21567f3405.pdf";"nein"
"Shell";"Shell Morlina S2 BL 10";"SPINDLE_OIL";"https://www.shell.com/content/dam/shell/assets/en/business-functions/shell-lubricants/documents/morlina-family-brochure.pdf";"";"nein"
"Shell";"Shell Morlina S2 BL 22";"SPINDLE_OIL";"https://www.shell.com/business-customers/industrial-lubricants-and-specialty-fluids-for-business/products/shell-morlina-bearing-circulating-oils.html";"https://www.shell-livedocs.com/data/published/en-US/9611876a-728f-41be-9364-c1af80d08390.pdf";"nein"
"Shell";"Shell Morlina S2 BL 5";"SPINDLE_OIL";"https://www.shell.com/content/dam/shell/assets/en/business-functions/shell-lubricants/documents/morlina-family-brochure.pdf";"";"nein"
"Shell";"Shell Tonna S3 M 220";"SLIDEWAY_OIL";"https://www.shell.us/business/fuels-and-lubricants/lubricants-for-business/products/shell-tonna-slideways-oils.html";"";"nein"
"Shell";"Shell Tonna S3 M 68";"SLIDEWAY_OIL";"https://www.shell.us/business/fuels-and-lubricants/lubricants-for-business/products/shell-tonna-slideways-oils.html";"https://hand.net.pl/wp-content/uploads/2014/02/GPCDOC_GTDS_Shell_Tonna_S3_M_68_en_TDS.pdf";"nein"
"Sodick";"V-WX";"EDM_FLUID";"https://www.sodick.co.jp/en/product/supplies/chemicals/v-wxcoat.html";"";"nein"
"SurTec";"SurTec 085";"CLEANER";"https://www.surtec.com/de/produkte-services/surtec-085/";"";"nein"
"SurTec";"SurTec 089";"CLEANER";"https://www.surtec.com/de/produkte-services/surtec-089/";"";"nein"
"TotalEnergies";"DIEL MS 7000";"EDM_FLUID";"https://lubricants.catalog.totalenergies.com/catalog-id/en_ID/hey_diel-ms-7000";"";"nein"
"TotalEnergies";"JARYTHERM DBT";"HEAT_TRANSFER_OIL";"https://lubricants.catalog.totalenergies.com/catalog-sg/en_SG/fpw-jarytherm-dbt";"";"nein"
"TotalEnergies";"MARTOL EP 100 CF";"FORMING_OIL";"https://lubricants.catalog.totalenergies.com/corporate/en_UK/qe8_martol-ep-100-cf";"";"nein"
"TotalEnergies";"MARTOL VB 68";"FORMING_OIL";"https://lubricants.catalog.totalenergies.com/corporate/en_UK/a4d_martol-vb-68";"";"nein"
"TotalEnergies";"NEVASTANE CHAIN OIL XT";"CHAIN_OIL";"https://lubricants.catalog.totalenergies.com/catalog-sg/en_SG/6ec_nevastane-chain-oil-xt";"";"nein"
"TotalEnergies";"OSYRIS Y 4000";"CORROSION_PROTECTION";"https://lubricants.catalog.totalenergies.com/corporate/en_UK/eel_osyris-y-4000";"";"nein"
"TotalEnergies";"PLANETELF ACD 68";"REFRIGERATION_OIL";"https://lubricants.catalog.totalenergies.com/catalog-ch/de_CH/ggz_planetelf-acd-68";"";"nein"
"TotalEnergies";"SERIOLA 1510";"HEAT_TRANSFER_OIL";"https://lubricants.catalog.totalenergies.com/catalog-za/en_UK/b38_seriola-1510";"";"nein"
"TotalEnergies";"TotalEnergies Dacnis SH 46";"COMPRESSOR_OIL";"https://lubricants.catalog.totalenergies.com/catalog-za/en_UK/1kt_dacnis-sh-46";"";"nein"
"Zeller+Gmelin";"Divinol B Classic";"RELEASE_AGENT";"https://zeller-gmelin.de/products/divinol-b-classic/";"";"nein"
"Zeller+Gmelin";"Divinol Chain Lube 260 CPS";"CHAIN_OIL";"https://zeller-gmelin.de/sbu/woodpanel-2/hochtemperaturkettenoele/";"";"nein"
"Zeller+Gmelin";"Divinol Cleaner 9337";"CLEANER";"https://www.zeller-gmelin.de/zgSite/de/Chemie/Oberfl%C3%A4chenbehandlung/Vorbehandlung-Metalle/Divinol-Cleaner-9337/p/09337";"";"nein"
"Zeller+Gmelin";"Divinol Multicor DW 3 Ultra";"CORROSION_PROTECTION";"https://zeller-gmelin.de/en/products/multicor-dw-3-ultra/";"";"nein"
"Zeller+Gmelin";"Divinol Multicor LF 30";"CORROSION_PROTECTION";"https://zeller-gmelin.de/en/products/multicor-lf-30/";"";"nein"
"Zeller+Gmelin";"Divinol T 7 EP ISO 68";"SLIDEWAY_OIL";"https://www.zeller-gmelin.de/zgSite/de/Industrieschmierstoffe/Maschinenschmierung/F%C3%BChrungs--und-Gleitbahn%C3%B6le/Divinol-T-7-EP-ISO-68/p/21660";"";"nein"
"Zeller+Gmelin";"Multicut Grind 8";"GRINDING_OIL";"https://zeller-gmelin.de/en/products/multicut-grind-8/";"https://zeller-gmelin.de/wp-content/uploads/2023/11/Multicut_deutsch_0320_WEB_DpS.pdf";"nein"
"Zeller+Gmelin";"Multicut Grind HSG 9";"GRINDING_OIL";"https://zeller-gmelin.de/en/products/multicut-grind-hsg-9/";"https://zeller-gmelin.de/wp-content/uploads/2023/11/Multicut_deutsch_0320_WEB_DpS.pdf";"nein"
"Zeller+Gmelin";"Multicut Honolit 4";"HONING_LAPPING_OIL";"https://zeller-gmelin.de/wp-content/uploads/2023/11/Multicut_deutsch_0320_WEB_DpS.pdf";"https://zeller-gmelin.de/wp-content/uploads/2023/11/Multicut_deutsch_0320_WEB_DpS.pdf";"nein"
"Zeller+Gmelin";"Multidraw ALM 250";"FORMING_OIL";"https://zeller-gmelin.de/products/multidraw-alm-250/";"";"nein"
"Zeller+Gmelin";"Multidraw CU GWZ";"WIRE_DRAWING";"https://zeller-gmelin.de/en/products/multidraw-cu-gwz-2/";"";"nein"
"Zeller+Gmelin";"Multidraw CU MFE";"FORMING_OIL";"https://zeller-gmelin.de/en/products/multidraw-cu-mfe/";"";"nein"
"Zeller+Gmelin";"Multidraw CU SY";"WIRE_DRAWING";"https://www.zeller-gmelin.de/zgSite/de/Lubricants/Draht/Drahtzug/Multidraw-CU-SY/p/97220";"";"nein"
"Zeller+Gmelin";"Multidraw Drylube E 1";"FORMING_OIL";"https://zeller-gmelin.de/en/products/multidraw-drylube-e-1/";"";"nein"
"Zeller+Gmelin";"Multidraw KTL N 20";"FORMING_OIL";"https://zeller-gmelin.de/products/multidraw-ktl-n-20/";"";"nein"
"Zeller+Gmelin";"Zubora RF";"ADDITIVE";"https://zeller-gmelin.de/en/products/zubora-rf/";"";"nein"
"oelheld";"EcoSpark 105";"EDM_FLUID";"https://www.oelheld.com/en/products/metalworking-lubricants/dielectric/ecospark-dielectric-for-die-sinking-edm/";"https://www.oelheld.com/fileadmin/content/Broschueren/DE/Dielektrika_-BR-__DE_.pdf";"nein"
"oelheld";"IME 82";"EDM_FLUID";"https://www.oelheld.com/en/products/metalworking-lubricants/dielectric/ime-series-dielectric-for-die-sinking-edm/";"https://www.oelheld.com/fileadmin/content/Broschueren/DE/Dielektrika_-BR-__DE_.pdf";"nein"
"oelheld";"IonoFil 100";"EDM_FLUID";"https://www.oelheld.com/en/products/metalworking-lubricants/dielectric/ionofil-dielectric-for-wire-edm/";"https://www.oelheld.com/fileadmin/content/Broschueren/DE/Dielektrika_-BR-__DE_.pdf";"nein"
"oelheld";"IonoGrind 165";"EDM_FLUID";"https://www.oelheld.com/en/products/metalworking-lubricants/dielectric/ionogrind-2-in-1-multifunctional-fluid/";"https://www.oelheld.com/fileadmin/content/Broschueren/DE/Dielektrika_-BR-__DE_.pdf";"nein"
"oelheld";"IonoVit 0";"EDM_FLUID";"https://www.oelheld.com/en/products/metalworking-lubricants/dielectric/ionovit-dielectric-for-fast-hole-edm-drilling/";"https://www.oelheld.com/fileadmin/content/Broschueren/DE/Dielektrika_-BR-__DE_.pdf";"nein"
"oelheld";"IonoVit S";"EDM_FLUID";"https://tri-gemini.com/dielectric-fluids/oelheldionovit-s/";"https://tri-gemini.com/wp-content/uploads/2020/06/IonoVit_-BR-_EN.pdf";"nein"
"oelheld";"SintoGrind HSS-X 1400";"GRINDING_OIL";"https://www.oelheld.com/en/products/metalworking-lubricants/grinding-oil/sintogrind-grinding-oil/";"https://www.oelheld.com/fileadmin/content/Broschueren/DE/Schleifoele_-BR-__DE_.pdf";"nein"
"oelheld";"SintoGrind TC-X 630";"GRINDING_OIL";"https://www.oelheld.com/en/products/metalworking-lubricants/grinding-oil/sintogrind-grinding-oil/";"https://www.oelheld.com/fileadmin/content/Broschueren/DE/Schleifoele_-BR-__DE_.pdf";"nein"
"oelheld";"SintoGrind TTK";"GRINDING_OIL";"https://www.oelheld.com/en/products/metalworking-lubricants/grinding-oil/sintogrind-grinding-oil/";"https://www.oelheld.com/fileadmin/content/Broschueren/DE/Schleifoele_-BR-__DE_.pdf";"nein"
"oelheld";"ToolGrind TC-X 620";"GRINDING_OIL";"https://www.oelheld.com/de/produkte/schmierstoffe-metallbearbeitung/schleifoel/toolgrind-schleifoel/";"";"nein"
